capa_id,company,recall_id,product_res_number,recalling_firm,product_description,nonconformity,original_root_cause,corrected_root_cause,department,assigned_owner,severity,capa_status,open_date,close_date,days_open,overdue,corrective_action,effectiveness_result
CAPA-MF-1000,MedFluss GmbH,85112,Z-0147-2010,Hospira Inc,"Power cord for QVue Continuous Cardiac Output (CCO)/SO2 computer, list #s 52230-04-03, 52230-04-05, 52230-04-07, 52230-04-09, 52230-04-11, 52230-04-13, 52230-04-15, 52230-04-17, 52230-04-25, 52230-04-31, 52230-04-33, AC cord manufactured by Electri-Cord, Westfield PA, Infusion pumps manufactured by Hospira, Morgan Hill, CA.",Fire/Shock hazard-- The power cord used in the device may cause sparks/flashes and poses a fire and shock hazard.,Component design/selection,Component design/selection,Quality Assurance,Thomas Becker,Major,Closed,2022-08-21,2022-11-22,93,No,"Hospira initiated its recall on 08/14/2009.  A nationwide press release was issued to AP, and a letter to consignees was sent via UPS.  The firm will replace affected cords and effectiveness checks will be conducted through tracking of servicing.",Effective
CAPA-MF-1001,MedFluss GmbH,105064,Z-0268-2012,Wolf Medical Supply Inc.,"Wolf Medical Supply, Inc., WOLF-PAK  REDI-FLO ELASTOMERIC INFUSION PUMP, FILL VOLUME 100 mL, FLOW RATE 2mL/Hr.  Model # CT-0020-100 Item # RFC100020.  
       Manufactured by Medpro International (Thailand) Ltd.",Redi-Flo Elastomeric Infusion Pumps may have a higher flow rate than specified (more than +15%).,Process control,Process control,Manufacturing,Lisa Hartmann,Major,Closed,2022-07-10,2022-10-30,112,No,"On 10/20/2011 Wolf Medical Supply Inc., customers were notified by telephone and email.  Product was distributed to end users.",Partially Effective
CAPA-MF-1002,MedFluss GmbH,105401,Z-0269-2012,Wolf Medical Supply Inc.,"Wolf Medical Supply Inc., WOLF-PAK  REDI-FLO  ELASTOMERIC INFUSION PUMP, FILL VOLUME 270 mL, FLOW RATE 2mL/Hr.  
Model # CT-0020-270 Item # RFC270020.
Manufactured by Medpro International (Thailand) Ltd.",Redi-Flo Elastomeric Infusion Pumps may have a higher flow rate than specified (more than +15%).,Process control,Process control,Manufacturing,Carlos Rivera,Major,Closed,2023-09-01,2023-09-22,21,No,"On 10/20/2011 Wolf Medical Supply Inc., customers were notified by telephone and email.  Product was distributed to end users.",Effective
CAPA-MF-1003,MedFluss GmbH,104072,Z-3284-2011,Hospira Inc.,"Plum A+ Single Channel Infusion Pumps; Hospira, Inc., Lake Forest, IL 60045; the pumps were sold under the following configurations: 
a) list 11971 
b) list 11973 - software version 10.3 
c) list 12391 - software version 11.3 
d) list 20679 - Hospira MedNet Software 
e) list 20792 - Driver

The Plum A+ dual-line volumetric infusion system designed to meet the growing demand for hospital-wide, as well as alternate site and home healthcare, standardization. With their primary line, secondary line, and piggyback fluid delivery capability, the Plum A+ is suited for a wide range of medical/surgical and critical care applications. Full compatibility with LifeCare Plum Series administration sets and accessories and the LifeShield needleless protection systems makes the Plum A+ a convenient and cost-effective infusion system.","Hospira has received reports of incorrect seating of the regulator closer on the Plum A+ Infusion Pumps.  If the regulator closer does not close the flow regulator actuator when the pump door is opened, and if the clinician has not engaged the clamp prior to opening the cassette door, unrestricted flow may occur.",Nonconforming Material/Component,Nonconforming Material/Component,Quality Assurance,Thomas Becker,Major,Closed,2025-11-10,2026-01-16,67,No,"Hospira, Inc. sent an ""URGENT DEVICE RECALL"" letter dated September 16, 2011 to all affected customers.  The letter describes the product, problem and actions to be taken by the customers. The letter instructs customers on how to prevent occurrences of continuous recycling/rebooting during start-up.  A reply form was attached to the letter for customers to complete and return via fax to 1-888-345-5358.  Contact Hospira Advanced Knowledge Center at 1-800-241-4002, option 4, for technical assistance or information regarding this notice.",Effective
CAPA-MF-1004,MedFluss GmbH,107986,Z-1338-2012,Medtronic Neuromodulation,"Medtronic, Model 8870, Application Software Card is part of the SynchroMed II Drug Infusion System.  The System includes the SynchroMed II implantable drug infusion pump 8637-20, 8637-40, N'Vision clinical programmer 8840 and the Software application card 8870. 

The SynchroMed II Infusion system contains and administers prescribed drugs to a specific site inside patient body. The SynchroMed II Pump is supplied in 20 ml and 40 ml reservoir sizes. In the United States, the SynchroMed II Pump is specifically approved for (indicated):  The chronic epidural/intrathecal infusion of Infumorph (preservative-free morphine sulfate sterile solution) in the treatment of chronic intractable pain.  The chronic intrathecal infusion of Lioresal Intrathecal (baclofen injection) in the management of severe spasticity.  The chronic intrathecal infusion of Prialt (preservative-free ziconotide sterile solution) for the management of severe chronic pain.  The chronic intravascular infusion of floxuridine (FUDR) for the treatment of primary or metastatic cancer.  The chronic intravascular infusion of methotrexate for the treatment of primary or metastatic cancer. Outside of the United States, the SynchroMed II Pump is indicated for the chronic infusion of drugs or fluids tested as compatible and listed in the product labeling for the specific geographies.","Medtronic has confirmed that an algorithm used in the Model 8870 application card software has resulted
in nine (9) occurrences of an incorrectly displayed Schedule to replace the pump by date. It is estimated that there are more than 140,000 SynchroMed II pump implants worldwide. A patient with a pump reaching EOS prior to replacement may experience the return of underlying symptoms and/or
wit",Software design,Software design,Quality Assurance,Thomas Becker,Critical,Closed,2022-08-28,2022-10-12,45,No,"Medtronic mailed an ""Urgent Medical Device Correction "" letter addressed to  Dear Healthcare Professional on March 12, 2012.  The letter described the problem, Background, Clinical Manifestations, Recommendations, and Additional Information.
To ensure there is no interruption in therapy, pump replacements should be scheduled before the ERI alarm sounds and the pump reaches its 7-year end of service.
Customers were advised to forward the Urgent Medical Device Correction letter to patients whose name appears on their Pump Replacement List.
Reimbursement SupportFor assistance with prior authorization, contact Medtronic Reimbursement at the numbers below:

Therapy for Severe Spasticity: (800) 292-2903

Pain Therapies: (866) 962-9909

For questions regarding the letter call 800-328-0810.",Effective
CAPA-MF-1005,MedFluss GmbH,108274,Z-1411-2012,MOOG Medical Devices Group,"Non-DEHP Epidural Yellow Striped Tubing Administration Set with Vented Vial Spike and 0.2 Micron Filter Packaged Assembly

The Curlin Ambulatory Infusion Pump System with disposable PVC Administration Tubing Sets and user accessories, provide a means for the volumetric delivery of fluids used in Parenteral, Enteral, Epidural, Subcutaneous and Intravenous applications.","Ambulatory administration sets used with the Curlin Ambulatory Pumps including the 4000 CMS Ambulatory Pump, 6000 CMS Ambulatory Pump and the Pain Smart IOD Ambulatory Pump may leak during use.",Nonconforming Material/Component,Nonconforming Material/Component,Quality Assurance,Thomas Becker,Major,Closed,2022-02-09,2022-02-28,19,No,"Moog Medical Device Group sent a Medical Device Recall Notification letter dated March 20, 2012, to all affected customers.  The letter identified the product, the problem, and the action to be taken by the customer.  Customers were instructed to remove the affected product from their inventory, contact the distributor or Moog Customer Service at 1-800-970-2337, prompt #7, then return product to distributor or Moog.
For additional questions regarding this recall call Moog's Customer Service Department at (800) 970-2337.",Partially Effective
CAPA-MF-1006,MedFluss GmbH,118235,Z-1453-2013,"Symbios Medical Products, LLC","Part 510076 Disposable Dual Infusion Pump, ...Elastomeric Dual Pump 300 mL(150 ml/side) 2mL/hr/side,... Sterile,  found in the following kits: GoPump kit 510080-BP,  5 fenestrated catheter & BIOPATCH; 
GoPump kit 510112-BP,  2.5"" fenestrated catheter & BIOPATCH
Go Pump Kit 510141-BP,10"" fenestrated catheter& BIOPATCH

Disposable Single Infusion Pump for drug delivery Symbios GOPump Rapid Recovery System is a local pain mangagement system that consists of a small balloon that is inflated with a local anesthetic medication.","Symbios Medical Products, Indianapolis, Indiana, is performing a voluntary recall of all GoPumps found in the GoPump Rapid Recovery System kits and all GoBlock kits manufactured with flow control components assembled prior to July 2012. The recall is being expanded after receiving additional reports relating to excessively high flow rates on the 150 mL reservoir, 2 mL/hr GOPump (PN510031), and the",Under Investigation by firm,Under Investigation by firm,Quality Assurance,Sarah Müller,Critical,Closed,2025-09-06,2025-11-05,60,No,"Symbios sent UrgentMedical Device Recall notices to all consignees beginning May 10, 2013.  A second corrected/amended notice was sent on May 14, 2013 to consignees and a National Press release was issued.  May 30,2013, a third amended Urgent Recall Notice was sent to all consignees correcting the pump description and lot number range table on page 5 of the notice.  The notices and press release provided identification of the recalled devices including devices in the previous February 2013 recall, described possible adverse events, and  included directions to to quarantine product in a secure location, in preparation for return.  Consignees were asked to call 317 225-4447 ext. 25, 8:00 a.m to 4:00 p.m. EDT to receive a Returned Goods Authorization Number prior to returning product.  Consignees were asked to complete and return the Attached Verification Form.  Question and Concerns should be addressed to 317-225-4447 ext 25.",Partially Effective
CAPA-MF-1007,MedFluss GmbH,119619,Z-1678-2013,Baxter Healthcare Corp.,"Baxter's elastomeric infusion pumps are non-electronic, ambulatory, disposable devices that deliver continuous medication for periods of 30 minutes up to 7 days. They are designed for medication therapies requiring continuous infusion.

The infusion pumps can be utilized for slow, continuous delivery through clinically acceptable routes of administration such as intravenous (IV), intra-arterial (IA), and subcutaneous or epidural infusion of medications directly into an intraoperative site or subcutaneously for post-operative pain management.","There are reported incidents of leakage on the INFUSOR and FOLFUSOR pumps at the connection of the blue winged cap and the distal male Luer. Investigation of these reports indicates the incidence of leakage has only occurred after pumps are filled, primed, re-capped (using the blue winged Luer cap) and stored for a period of time, typically overnight. In addition, the reported instances of leakage",Equipment maintenance,Equipment maintenance,Quality Assurance,Sarah Müller,Critical,Closed,2023-01-09,2023-02-26,48,No,"Baxter sent an ""Important Product Information"" notification dated July 31, 2009, with a follow-up ""Important Product Information"" notification mailed on March 5, 2010. The notifications informed customers of the potential issue, and included instructions to ensure that the winged Luer cap is tightly secured after filling and priming. Customers were also instructed to follow normal clinical practices to reduce contact with any leaking medication, and to store pumps with pre-dispensed medication in a sealed pouch.  If customers noticed a leak they were instructed to place the pump in a plastic bag, quarantine the device and call Baxter's Corporate Product Surveillance at 1-800-437-5176 for further instructions.  Customers were asked to return the attached reply form via FAX to 1-847-270-5457.  If customers further distributed the affected product they were instructed to forward the notification to other facilities.  Customers with questions were instructed to call 1-800-933-0303.
For questions regarding this recall call 224-270-4667.",Effective
CAPA-MF-1008,MedFluss GmbH,115366,Z-0203-2014,Hospira Inc.,"Plum A+ Hyperbaric Infusion Pump; 

List Number 11005; 

Labeled in part: PLUM A+ HYPERBARIC; 

Product Usage:
The Plum A+ Infusion Systems are a multipurpose family of devices that provides precise delivery of multiple therapies across the general spectrum of clinical care","Hospira has received reports of distal pressure sensor calibration drift on Plum A+ Infusers. The following error codes may be displayed during setup or infusion signifying possible calibration drift: E180/N180, E181/N181, E186/N186, E187/N187 or E346. Additionally, if the pressure sensor calibration has drifted, users may experience false distal occlusion alarms or distal occlusions that may not",Nonconforming Material/Component,Nonconforming Material/Component,Quality Assurance,Thomas Becker,Major,Closed,2025-06-29,2025-10-08,101,No,"Hospira sent an URGENT DEVICE FIELD CORRECTION letter dated February 5, 2013 was sent to all direct accounts notifying them of the issue. For device users who experience these issues, Hospira recommends the following actions be taken: 

1) Remove the pump from service and perform a Performance Verification Test (PVT) Distal Occlusion Test to determine if the distal pressure sensor is performing correctly. 

2) If the device does not pass the PVT, it may indicate that the distal pressure sensor has drifted. Perform the appropraite troubleshooting and repair activities defined by the user's facility, whihc may include returning the device to Hospira for further diagnosis and servicing. 

The remediation for this issue is to perform a recalibration of the distal pressure sensor. Hospira also intends to release in 2013 a recommendation of a yearly test to determine if the distal pressure sensor's calibration has drifted. 

Customers who suspect that their device(s) may be affected by this issue are urged to contact Hospira at 1-800-441-4100 (Monday - Friday, 8:00 AM - 5:00 PM CST) to report the issue. Hospira will provide loaner devices if necessary. 

Customers are requested to complete and return the reply form included with the notification letter per the instructions on the reply form.
For questions regarding this recall call 224-212-2000.",Partially Effective
CAPA-MF-1009,MedFluss GmbH,121520,Z-0197-2014,Baxter Healthcare Corp.,"SIGMA SPECTRUM Infusion Pump with Master Drug Library.

Intended to be used for the controlled administration of intravenous fluids.",Baxter Healthcare Corporation issued an Urgent Device Correction for the SIGMA SPECTRUM Infusion Pump with Master Drug Drug Library due to reports of upstream occlusion alarms and air-in-line alarms occurring during infusions.,Process design,Process design,Quality Assurance,Sarah Müller,Minor,Closed,2025-03-20,2025-06-11,83,No,"On June 10, 2013 Baxter Healthcare Corporation issued an Urgent Device Correction for the SIGMA SPECTRUM Infusion Pump with Master Drug Library.  The notices were dated June 5, 2013 and were distributed via first class mail.  Until further information is provided, users should continue to follow the SIGMA SPECTRUM Infusion Pump Operator's Manual, which identifies a number of environmental and clinical usage factors that contribute to upstream occlusion and air-in-line alarms.  For high-risk patients, consider having additional devices as backup.  If the biomedical engineer finds that the sensor is not functioning properly, contact Baxter Healthcare at 800-356-3454 (choose option 1).  For clinical questions, please contact Medical Information Services at Baxter at 800-933-0303, Monday through Friday 8:00am to 5:00 pm Central Time.",Effective
